Genome,Pan,Core,Accessory
571,50798.9,1537.1,49261.8
572,50858.8,1535.4,49323.4
573,50881.2,1534.4,49346.8
574,50899.4,1530.6,49368.8
575,50937.8,1530.5,49407.3
576,50967.6,1530.3,49437.3
577,51002.9,1529.8,49473.1
578,51048.4,1524.3,49524.1
579,51061.8,1522.4,49539.4
580,51088.2,1521.4,49566.8
581,51116.7,1520.4,49596.3
582,51159.3,1520.0,49639.3
583,51175.3,1519.7,49655.6
584,51225.9,1519.0,49706.9
585,51269.9,1518.1,49751.8
586,51284.0,1517.9,49766.1
587,51311.3,1516.5,49794.8
588,51342.9,1515.6,49827.3
589,51408.7,1514.2,49894.5
590,51447.2,1514.0,49933.2
591,51496.4,1512.9,49983.5
592,51524.0,1512.5,50011.5
593,51537.9,1512.2,50025.7
594,51576.8,1512.0,50064.8
595,51619.4,1511.7,50107.7
596,51654.1,1510.4,50143.7
597,51673.2,1508.6,50164.6
598,51726.8,1507.6,50219.2
599,51769.9,1506.6,50263.3
600,51815.2,1506.5,50308.7
601,51865.1,1505.9,50359.2
602,51956.0,1501.3,50454.7
603,51988.4,1500.7,50487.7
604,52003.9,1500.3,50503.6
605,52045.8,1498.4,50547.4
606,52084.2,1497.9,50586.3
607,52106.3,1497.4,50608.9
608,52131.8,1497.1,50634.7
609,52153.6,1495.8,50657.8
610,52198.2,1495.6,50702.6
611,52219.8,1494.1,50725.7
612,52277.7,1492.9,50784.8
613,52326.5,1492.3,50834.2
614,52367.8,1491.9,50875.9
615,52414.7,1491.0,50923.7
616,52459.1,1488.8,50970.3
617,52502.2,1488.2,51014.0
618,52534.6,1487.9,51046.7
619,52565.0,1486.7,51078.3
620,52587.5,1484.5,51103.0
621,52627.6,1483.7,51143.9
622,52674.8,1483.2,51191.6
623,52697.0,1482.8,51214.2
624,52718.8,1482.3,51236.5
625,52780.3,1481.8,51298.5
626,52875.0,1479.1,51395.9
627,52897.8,1478.2,51419.6
628,52921.0,1477.2,51443.8
629,52965.0,1476.4,51488.6
630,53002.2,1475.1,51527.1
631,53039.2,1474.9,51564.3
632,53067.9,1474.8,51593.1
633,53098.4,1473.2,51625.2
634,53116.4,1471.9,51644.5
635,53138.3,1469.8,51668.5
636,53174.5,1468.8,51705.7
637,53200.5,1468.2,51732.3
638,53232.8,1466.6,51766.2
639,53257.3,1465.8,51791.5
640,53285.8,1464.7,51821.1
641,53313.7,1464.1,51849.6
642,53352.8,1462.8,51890.0
643,53384.3,1460.7,51923.6
644,53408.9,1460.1,51948.8
645,53494.8,1455.0,52039.8
646,53513.3,1453.7,52059.6
647,53537.7,1453.7,52084.0
648,53556.3,1453.0,52103.3
649,53610.7,1451.9,52158.8
650,53639.4,1451.5,52187.9
651,53672.6,1450.2,52222.4
652,53711.4,1449.3,52262.1
653,53733.3,1448.7,52284.6
654,53767.5,1448.1,52319.4
655,53801.3,1447.4,52353.9
656,53845.6,1446.8,52398.8
